Business name,Normalised business name,Domain,Normalised root domain,Country,Legal or subscriber type,Industry,Contact email,Contact person,Decision-maker role,Phone number,Date researched,Date first contacted,Date follow-up due,Existing website quality,Demo status,GitHub path,GitHub branch or pull request,Public demo URL,Gmail first-draft status,Gmail follow-up status,Outreach status,Delivery status,Reply status,Opt-out status,Suppression reason,Prospect score,Commercial capability,Notes
Door Maintenance Co,door maintenance co,https://www.doormaintenance.co.uk/,doormaintenance.co.uk,United Kingdom,Company number 01783555 shown on official site; registry match not independently resolved in this run,"Industrial, fire and automatic door maintenance",info@doormaintenance.co.uk,Relevant team,General business inbox,029 2066 5539,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/door-maintenance-co,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/door-maintenance-co/,Created in connected Gmail; not sent,Created as standalone Re: draft; genuine threading pending until original is sent,20-message batch drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,91,Strong,"No prior MDA contact, demo, GitHub result or suppression entry found in available checks. Primary opportunity: Engineer-ready fault triage and maintenance-renewal routing. Branded .com domain currently has a DNS resolution issue; verified GitHub Pages MDA profile used in drafts."
One Group Services,one group services,https://www.onegroupuk.co.uk/,onegroupuk.co.uk,United Kingdom,Active private limited company 07139495,Specialist commercial and industrial cleaning,info@onegroupuk.co.uk,Relevant team,General business inbox,0800 999 1101,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/one-group-services,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/one-group-services/,Created in connected Gmail; not sent,Created as standalone Re: draft; genuine threading pending until original is sent,20-message batch drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,89,Strong,"No prior MDA contact, demo, GitHub result or suppression entry found in available checks. Primary opportunity: Site-scoping form with service-frequency and risk routing. Branded .com domain currently has a DNS resolution issue; verified GitHub Pages MDA profile used in drafts."
MC Refrigeration,mc refrigeration,https://www.mcrefrigeration.co.uk/,mcrefrigeration.co.uk,United Kingdom,Active private limited company 05438257,Commercial refrigeration installation and maintenance,info@mcrefrigeration.co.uk,Relevant team,General business inbox,01933 277672,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/mc-refrigeration,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/mc-refrigeration/,Created in connected Gmail; not sent,Created as standalone Re: draft; genuine threading pending until original is sent,20-message batch drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,92,Strong,"No prior MDA contact, demo, GitHub result or suppression entry found in available checks. Primary opportunity: Plant-critical cooling fault intake with stock-risk prioritisation. Branded .com domain currently has a DNS resolution issue; verified GitHub Pages MDA profile used in drafts."
Aqua Ease,aqua ease,https://aquaease.co.uk/,aquaease.co.uk,United Kingdom,Active private limited company 12665369,"Legionella compliance, water hygiene and treatment",info@aquaease.co.uk,Relevant team,General business inbox,0191 447 3310,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/aqua-ease,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/aqua-ease/,Created in connected Gmail; not sent,Created as standalone Re: draft; genuine threading pending until original is sent,20-message batch drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,93,Strong,"No prior MDA contact, demo, GitHub result or suppression entry found in available checks. Primary opportunity: Portfolio compliance planner with recurring inspection and monitoring reminders. Branded .com domain currently has a DNS resolution issue; verified GitHub Pages MDA profile used in drafts."
Thomas Fire Consultancy,thomas fire consultancy,https://thomasfire.co.uk/,thomasfire.co.uk,United Kingdom,Company number 11399680 shown on official site,"Fire safety consultancy, inspections and maintenance",info@thomasfire.co.uk,Relevant team,General business inbox,01327 828314,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/thomas-fire-consultancy,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/thomas-fire-consultancy/,Created in connected Gmail; not sent,Created as standalone Re: draft; genuine threading pending until original is sent,20-message batch drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,90,Strong,"No prior MDA contact, demo, GitHub result or suppression entry found in available checks. Primary opportunity: Fire-compliance pathway with recurring inspection and renewal reminders. Branded .com domain currently has a DNS resolution issue; verified GitHub Pages MDA profile used in drafts."
Stageworks Events,stageworks events,https://stageworkslightingandsound.co.uk/,stageworksevents.co.uk,United Kingdom,Active private limited company 16705667; incorporated September 2025,"Sound, lighting, staging and event production",info@stageworksevents.co.uk,Relevant team,General business inbox,07882 423370,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/stageworks-events,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/stageworks-events/,Created in connected Gmail; not sent,Created as standalone Re: draft; genuine threading pending until original is sent,20-message batch drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,84,Moderate,"No prior MDA contact, demo, GitHub result or suppression entry found in available checks. Primary opportunity: Production brief builder with venue, audience, scope and power qualification. Branded .com domain currently has a DNS resolution issue; verified GitHub Pages MDA profile used in drafts."
Intielectric Ltd,intielectric ltd,https://www.intielectricltd.com/,intielectricltd.com,United Kingdom,Ltd as represented on official website; independent registry match not resolved in this run,Commercial and industrial electrical contracting,info@intielectricltd.com,Relevant team,General business inbox,07389 171 964,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/intielectric,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/intielectric/,Created in connected Gmail; not sent,Created as standalone Re: draft; genuine threading pending until original is sent,20-message batch drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,87,Moderate,"No prior MDA contact, demo, GitHub result or suppression entry found in available checks. Primary opportunity: Commercial project intake with shutdown and project-stage routing. Branded .com domain currently has a DNS resolution issue; verified GitHub Pages MDA profile used in drafts."
Cura Surveys,cura surveys,https://curasurveys.co.uk/,curasurveys.co.uk,United Kingdom,Active private limited company 11166352,"Drainage, utility, measured-building and topographical surveys",info@curasurveys.co.uk,Relevant team,General business inbox,020 3488 5858,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/cura-surveys,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/cura-surveys/,Created in connected Gmail; not sent,Created as standalone Re: draft; genuine threading pending until original is sent,20-message batch drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,94,Strong,"No prior MDA contact, demo, GitHub result or suppression entry found in available checks. Primary opportunity: Survey deliverables configurator and project-stage qualification. Branded .com domain currently has a DNS resolution issue; verified GitHub Pages MDA profile used in drafts."
UK Solar Services Ltd,uk solar services ltd,https://www.uksolarservicesltd.co.uk/,uksolarservicesltd.co.uk,United Kingdom,Active private limited company 11318696,"Solar PV, battery, heat-pump and renewable-energy services",info@uksolarservicesltd.co.uk,Relevant team,General business inbox,01782 444209,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/uk-solar-services,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/uk-solar-services/,Created in connected Gmail; not sent,Created as standalone Re: draft; genuine threading pending until original is sent,20-message batch drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,92,Strong,"No prior MDA contact, demo, GitHub result or suppression entry found in available checks. Primary opportunity: Commercial feasibility intake with roof, energy-spend and technology qualification. Branded .com domain currently has a DNS resolution issue; verified GitHub Pages MDA profile used in drafts."
Harlequin Pest Control,harlequin pest control,https://harlequin-pest.co.uk/,harlequin-pest.co.uk,United Kingdom,Trading entity shown on official website; independent registry match not resolved in this run,Commercial and multi-site pest management,info@harlequin-pest.co.uk,Relevant team,General business inbox,07947 486831,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/harlequin-pest-control,Batch 08 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/harlequin-pest-control/,Created in connected Gmail; not sent,Created as standalone Re: draft; genuine threading pending until original is sent,20-message batch drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,86,Moderate,"No prior MDA contact, demo, GitHub result or suppression entry found in available checks. Primary opportunity: Audit-ready pest survey intake with multi-site and reporting qualification. Branded .com domain currently has a DNS resolution issue; verified GitHub Pages MDA profile used in drafts."
