Business name,Normalised business name,Domain,Normalised root domain,Country,Legal or subscriber type,Industry,Contact email,Contact person,Decision-maker role,Phone number,Date researched,Date first contacted,Date follow-up due,Existing website quality,Demo status,GitHub path,GitHub branch or pull request,Public demo URL,Gmail first-draft status,Gmail follow-up status,Outreach status,Delivery status,Reply status,Opt-out status,Suppression reason,Prospect score,Commercial capability,Notes
CC Door Systems,cc door systems,https://www.ccdoorsystems.co.uk/,ccdoorsystems.co.uk,United Kingdom,Not re-verified in Batch 06,Automatic and manual door systems,info@ccdoorsystems.co.uk,Not publicly verified for outreach,,,2026-08-04,Check Gmail,Check Gmail,Legacy record,Existing demo/history,Existing legacy prospect folder,Legacy,Check repository and public host,Check Gmail,Check Gmail,Existing history — do not restart as new outreach,Check Gmail,Check Gmail,Check Gmail,,88,Strong,Legacy row; full status must be checked against Gmail before any action.
Abbey Fire Protection,abbey fire protection,https://abbeyfireprotection.com/,abbeyfireprotection.com,United Kingdom,Not re-verified in Batch 06,Fire protection and extinguisher servicing,service@abbeyfireprotection.com,David Michael Brookes,Director,,2026-08-04,Check Gmail,Check Gmail,Legacy record,Existing demo/history,Existing legacy prospect folder,Legacy,Check repository and public host,Check Gmail,Check Gmail,Existing history — do not restart as new outreach,Check Gmail,Check Gmail,Check Gmail,,86,Strong,Legacy row; full status must be checked against Gmail before any action.
Refrigeration U.K Ltd,refrigeration uk ltd,https://www.refrigerationukltd.co.uk/,refrigerationukltd.co.uk,United Kingdom,Not re-verified in Batch 06,Commercial refrigeration and air conditioning,refrigerationuk@live.co.uk,Justin Scott Walker,Director,,2026-08-04,Check Gmail,Check Gmail,Legacy record,Existing demo/history,Existing legacy prospect folder,Legacy,Check repository and public host,Check Gmail,Check Gmail,Existing history — do not restart as new outreach,Check Gmail,Check Gmail,Check Gmail,,91,Strong,Legacy row; full status must be checked against Gmail before any action.
Water Hygiene Services,water hygiene services,https://waterhygieneservices.co.uk/,waterhygieneservices.co.uk,United Kingdom,Not re-verified in Batch 06,Legionella control and water hygiene compliance,info@waterhygieneservices.co.uk,Benjamin James Baldwin,Director,,2026-08-04,Check Gmail,Check Gmail,Legacy record,Existing demo/history,Existing legacy prospect folder,Legacy,Check repository and public host,Check Gmail,Check Gmail,Existing history — do not restart as new outreach,Check Gmail,Check Gmail,Check Gmail,,93,Strong,Legacy row; full status must be checked against Gmail before any action.
MPH Elec Services LTD,mph elec services ltd,https://mphelec.co.uk/,mphelec.co.uk,United Kingdom,Not re-verified in Batch 06,Commercial and industrial electrical contracting,mphtechltd@gmail.co.uk,Not publicly verified,,,2026-08-04,Check Gmail,Check Gmail,Legacy record,Existing demo/history,Existing legacy prospect folder,Legacy,Check repository and public host,Check Gmail,Check Gmail,Existing history — do not restart as new outreach,Suppressed — hard bounce,Check Gmail,Check Gmail,Invalid recipient domain,82,Moderate,Confirmed bounce: gmail.co.uk domain not found; suppressed.
AJ Industrial Roofing & Cladding Ltd,aj industrial roofing and cladding ltd,https://www.ajindustrial.co.uk/,ajindustrial.co.uk,United Kingdom,Not re-verified in Batch 06,Industrial roofing and cladding,info@ajindustrial.co.uk,Not publicly verified for outreach,,,2026-08-04,Check Gmail,Check Gmail,Legacy record,Existing demo/history,Existing legacy prospect folder,Legacy,Check repository and public host,Check Gmail,Check Gmail,Existing history — do not restart as new outreach,Check Gmail,Check Gmail,Check Gmail,,87,Strong,Legacy row; full status must be checked against Gmail before any action.
Auto Extract Systems,auto extract systems,https://www.autoextract.co.uk/,autoextract.co.uk,United Kingdom,Private limited company; company no. 04189973,"Local exhaust ventilation (LEV), dust and fume extraction",info@autoextract.co.uk,Grant Gledhill,Director; general inbox verified for outreach,+44 (0)1942 267 444,2026-08-04,,Five business days after actual approved send,Working; meaningful enquiry-qualification opportunity,Completed; local desktop/mobile Chromium QA passed; public deployment not verified,prospects/auto-extract-systems,Merged PR #6; commit ad490b8e7a6682eb6b6ea1e0aa4a807f653a4fb0,,Not created — exact public demo URL unavailable and untested,Prepared text only — genuine thread pending after first email is sent,Prepared text only; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub, log and suppression checks. Public hosting and signed-out link QA remain manual."
Access Door Services,access door services,https://www.accessdoorservicesltd.co.uk/,accessdoorservicesltd.co.uk,United Kingdom,Private limited company; company no. 04691012,"Automatic doors, manual doors, gates and emergency repairs",info@accessdoorservicesltd.co.uk,James Matthew Groombridge,Director; general inbox verified for outreach,01923 609099,2026-08-04,,Five business days after actual approved send,Working; meaningful enquiry-qualification opportunity,Completed; local desktop/mobile Chromium QA passed; public deployment not verified,prospects/access-door-services,Merged PR #6; commit ad490b8e7a6682eb6b6ea1e0aa4a807f653a4fb0,,Not created — exact public demo URL unavailable and untested,Prepared text only — genuine thread pending after first email is sent,Prepared text only; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub, log and suppression checks. Public hosting and signed-out link QA remain manual."
LEV Testing Ltd,lev testing ltd,https://lev-testing.org/,lev-testing.org,United Kingdom,Private limited company; company no. 08424856,"LEV examination, testing, maintenance and repair",info@lev-testing.org,Paul Charles Wells / Joanne Louise Wells,Active directors; general inbox verified for outreach,,2026-08-04,,Five business days after actual approved send,Working; meaningful enquiry-qualification opportunity,Completed; local desktop/mobile Chromium QA passed; public deployment not verified,prospects/lev-testing,Merged PR #6; commit ad490b8e7a6682eb6b6ea1e0aa4a807f653a4fb0,,Not created — exact public demo URL unavailable and untested,Prepared text only — genuine thread pending after first email is sent,Prepared text only; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,87,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub, log and suppression checks. Public hosting and signed-out link QA remain manual."
EPS Events,eps events,https://epsevents.co.uk/,epsevents.co.uk,United Kingdom,Private limited company; company no. 11199002,"Stage, sound, lighting and event production",wayne@epsevents.co.uk,Wayne Morse,Director of Operations; named professional contact,07899 038763,2026-08-04,,Five business days after actual approved send,Working; meaningful enquiry-qualification opportunity,Completed; local desktop/mobile Chromium QA passed; public deployment not verified,prospects/eps-events,Merged PR #6; commit ad490b8e7a6682eb6b6ea1e0aa4a807f653a4fb0,,Not created — exact public demo URL unavailable and untested,Prepared text only — genuine thread pending after first email is sent,Prepared text only; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub, log and suppression checks. Public hosting and signed-out link QA remain manual."
Nationwide Roofing & Cladding Ltd,nationwide roofing and cladding ltd,https://www.nrclimited.co.uk/,nrclimited.co.uk,United Kingdom,Private limited company,Industrial and commercial roofing and cladding,info@nrclimited.co.uk,Paul Andrew Trigg,Director; general inbox verified for outreach,,2026-08-04,,Five business days after actual approved send,Working; meaningful enquiry-qualification opportunity,Completed; local desktop/mobile Chromium QA passed; public deployment not verified,prospects/nationwide-roofing-cladding,Merged PR #6; commit ad490b8e7a6682eb6b6ea1e0aa4a807f653a4fb0,,Not created — exact public demo URL unavailable and untested,Prepared text only — genuine thread pending after first email is sent,Prepared text only; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,89,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub, log and suppression checks. Public hosting and signed-out link QA remain manual."
Water Drop,water drop,https://www.water-drop.co.uk/,water-drop.co.uk,United Kingdom,Private limited company,"Water hygiene, Legionella control and environmental compliance",enquiries@water-drop.co.uk,Jane Lorraine Price / Joel Edward Tapping,Active directors; general inbox verified for outreach,,2026-08-04,,Five business days after actual approved send,Working; meaningful enquiry-qualification opportunity,Completed; local desktop/mobile Chromium QA passed; public deployment not verified,prospects/water-drop,Merged PR #6; commit ad490b8e7a6682eb6b6ea1e0aa4a807f653a4fb0,,Not created — exact public demo URL unavailable and untested,Prepared text only — genuine thread pending after first email is sent,Prepared text only; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,87,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub, log and suppression checks. Public hosting and signed-out link QA remain manual."
BW Fabrications,bw fabrications,https://www.bwfabrications.co.uk/,bwfabrications.co.uk,United Kingdom,Private limited company; company no. 06566293,"Commercial kitchen extraction, ventilation and stainless fabrication",info@bwfabrications.co.uk,Roger Gerard Burns,Director; general inbox verified for outreach,0117 963 4492,2026-08-04,,Five business days after actual approved send,Working; meaningful enquiry-qualification opportunity,Completed; local desktop/mobile Chromium QA passed; public deployment not verified,prospects/bw-fabrications,Merged PR #6; commit ad490b8e7a6682eb6b6ea1e0aa4a807f653a4fb0,,Not created — exact public demo URL unavailable and untested,Prepared text only — genuine thread pending after first email is sent,Prepared text only; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,92,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub, log and suppression checks. Public hosting and signed-out link QA remain manual."
SPE Limited,spe limited,https://spe.ltd.uk/,spe.ltd.uk,United Kingdom,Private limited company,"Sewage pumps, pumping stations, treatment plants and off-mains drainage",info@spe.ltd.uk,Matthew John Hawkes,Director; general inbox verified for outreach,,2026-08-04,,Five business days after actual approved send,Working; meaningful enquiry-qualification opportunity,Completed; local desktop/mobile Chromium QA passed; public deployment not verified,prospects/spe-limited,Merged PR #6; commit ad490b8e7a6682eb6b6ea1e0aa4a807f653a4fb0,,Not created — exact public demo URL unavailable and untested,Prepared text only — genuine thread pending after first email is sent,Prepared text only; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,92,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub, log and suppression checks. Public hosting and signed-out link QA remain manual."
Pump Services Surrey,pump services surrey,https://www.pump-services.co.uk/,pump-services.co.uk,United Kingdom,Private limited company,"Pump sales, service, repair and pumping-station support",sales@pump-services.co.uk,Craig Paul Pangborn / Karen Pangborn / Oliver Pangborn,Active directors; sales inbox verified for outreach,,2026-08-04,,Five business days after actual approved send,Working; meaningful enquiry-qualification opportunity,Completed; local desktop/mobile Chromium QA passed; public deployment not verified,prospects/pump-services-surrey,Merged PR #6; commit ad490b8e7a6682eb6b6ea1e0aa4a807f653a4fb0,,Not created — exact public demo URL unavailable and untested,Prepared text only — genuine thread pending after first email is sent,Prepared text only; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub, log and suppression checks. Public hosting and signed-out link QA remain manual."
KonFloor,konfloor,https://www.konfloor.com/,konfloor.com,United Kingdom,Northern Ireland private limited company; company no. NI055863,High-tolerance industrial concrete flooring,info@konfloor.com,Brendan Henry O’Reilly and current board,Current board; general inbox verified for outreach,+44 (0)28 37522 700,2026-08-04,,Five business days after actual approved send,Working; meaningful enquiry-qualification opportunity,Completed; local desktop/mobile Chromium QA passed; public deployment not verified,prospects/konfloor,Merged PR #6; commit ad490b8e7a6682eb6b6ea1e0aa4a807f653a4fb0,,Not created — exact public demo URL unavailable and untested,Prepared text only — genuine thread pending after first email is sent,Prepared text only; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,94,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub, log and suppression checks. Public hosting and signed-out link QA remain manual."
